run_id,status,error,CZ,Building,"Baseline [Code, Existing]",MeasAppType,HP COP,modeled_unit_count,modeled_capacity_kbtuh,Modeled Annual Therms,Claimed Annual Therm Rows,Claimed Annual Therms Median,Claimed Annual Therms Mean,Claimed Annual Therms Sum,Modeled - Claimed Annual Therms Median,Modeled % Diff vs Claimed Annual Therms Median,therm/kbtuh Modeled,therm/kbtuh Claimed,swwh028_meas_app_type_filter,SWWH028 MeasAppType,SWWH028 MeasCode,SWWH028 Claim Tech ID Keys,SWWH028 Match Basis,swwh028_unit_therm_rows,modeled_total_kwh,claims_filtered_rows,claims_cost_match_basis,claims_therm_compare_rows,selected_hpwh_workbook,Model Runs ES Folder,Model Runs ES Baseline Source,Model Runs ES Run Count,Model Runs ES Files,selected_trc_cost_scenario,Modeled TRC Cost,selected_trc_cost_per_kbtuh,RUL Years,Dual Baseline Basis,SWWH028 Measure Cost/kBtuh,SWWH028 Measure Cost Component,Modeled Other TRC Cost Component,Claimed TRC Cost Median,Claimed Benefits Median,Claimed Raw TRC Median,Claimed Other TRC Cost Component,modeled_total_system_benefit_eul_undiscounted,Modeled Benefits PV,TRC Modeled,TRC Claimed,TRC Claimed Basis
CZ8_Hotel_CODE,ok,,8,Hotel,CODE,NR,3.000000,1.000000,167.155530,9102.980055,0,,,,,,54.458145,46.000000,NR,NR,SWWH028K,"K, SWWH028K",building/CZ/measure application/HP COP 3,5,128482.648628,0,"selected HP COP 3 SWWH028 Tech ID options for building, CZ, and year",0,corrected with cap,corrected with cap,Standard,1,RE-WaterHtg_eq-HP_UEF-Any-80gal-3.0_NNIS10577EI_Htl.csv,claims_median_trc_cost_per_kbtuh,,,0.000000,Single baseline using SWWH028 1st baseline,148.290000,24787.493487,,,,,,103894.707910,69189.017032,,,"Median claimed TRC from claims rows selected by: selected HP COP 3 SWWH028 Tech ID options for building, CZ, and year; claims are assumed to already include AR dual-baseline costs"
CZ8_Hotel_EXISTING,ok,,8,Hotel,EXISTING,AR,3.000000,1.000000,167.155530,9102.980055,0,,,,,,54.458145,46.000000,AR,AR,SWWH028K,"K, SWWH028K",building/CZ/measure application/HP COP 3,2,128482.648628,0,"selected HP COP 3 SWWH028 Tech ID options for building, CZ, and year",0,corrected with cap,corrected with cap,Existing,1,RE-WaterHtg_eq-HP_UEF-Any-80gal-3.0_NNIS10577EI_Htl.csv,claims_median_trc_cost_per_kbtuh,,,4.330000,Dual baseline PV-weighted by RUL using SWWH028 UnitTherm/UnitMeaCost 1st and 2nd baseline,200.208467,33465.952375,,,,,,103894.707910,69189.017032,,,"Median claimed TRC from claims rows selected by: selected HP COP 3 SWWH028 Tech ID options for building, CZ, and year; claims are assumed to already include AR dual-baseline costs"
CZ9_Hotel_CODE,ok,,9,Hotel,CODE,NR,3.000000,1.000000,210.337145,9172.726467,0,,,,,,43.609637,46.300000,NR,NR,SWWH028K,"K, SWWH028K",building/CZ/measure application/HP COP 3,5,134179.610189,0,"selected HP COP 3 SWWH028 Tech ID options for building, CZ, and year",0,corrected with cap,corrected with cap,Standard,1,RE-WaterHtg_eq-HP_UEF-Any-80gal-3.0_NNIS10577EI_Htl.csv,claims_median_trc_cost_per_kbtuh,,,0.000000,Single baseline using SWWH028 1st baseline,148.290000,31190.895279,,,,,,99314.606475,66355.300163,,,"Median claimed TRC from claims rows selected by: selected HP COP 3 SWWH028 Tech ID options for building, CZ, and year; claims are assumed to already include AR dual-baseline costs"
CZ9_Hotel_EXISTING,ok,,9,Hotel,EXISTING,AR,3.000000,1.000000,210.337145,9172.726467,0,,,,,,43.609637,46.300000,AR,AR,SWWH028K,"K, SWWH028K",building/CZ/measure application/HP COP 3,2,134179.610189,0,"selected HP COP 3 SWWH028 Tech ID options for building, CZ, and year",0,corrected with cap,corrected with cap,Existing,1,RE-WaterHtg_eq-HP_UEF-Any-80gal-3.0_NNIS10577EI_Htl.csv,claims_median_trc_cost_per_kbtuh,,,4.330000,Dual baseline PV-weighted by RUL using SWWH028 UnitTherm/UnitMeaCost 1st and 2nd baseline,200.208467,42111.277466,,,,,,99314.606475,66355.300163,,,"Median claimed TRC from claims rows selected by: selected HP COP 3 SWWH028 Tech ID options for building, CZ, and year; claims are assumed to already include AR dual-baseline costs"
CZ8_Hotel_CODE,ok,,8,Hotel,CODE,NR,4.300000,1.000000,167.155530,8068.168007,63,7437.556000,9811.888952,618149.004000,630.612007,0.084788,48.267431,45.900000,NR,NR,"SWWH028L, SWWH028M, SWWH028N","L, M, N, SWWH028L, SWWH028M, SWWH028N",building/CZ/measure application/HP COP 4.3,15,69710.651125,63,"selected HP COP 4.3 SWWH028 Tech ID, measure application, building, CZ, and year",63,corrected with cap,corrected with cap,Standard,1,NE-WaterHtg_eq-HP_COP_Central-Any-120gal-4.3_NNIS41669EL_Htl.csv,claims_median_trc_cost_per_kbtuh,87580.358372,523.945325,0.000000,Single baseline using SWWH028 1st baseline,175.460000,29329.109227,58251.249145,84714.623895,103320.851603,1.219634,55385.514668,163071.275328,106377.034288,1.214622,1.219634,"Median claimed TRC from claims rows selected by: selected HP COP 4.3 SWWH028 Tech ID, measure application, building, CZ, and year; claims are assumed to already include AR dual-baseline costs"
CZ8_Hotel_EXISTING,ok,,8,Hotel,EXISTING,AR,4.300000,1.000000,167.155530,9342.407081,63,7437.556000,9811.888952,618149.004000,1904.851081,0.256113,55.890506,45.900000,AR,AR,"SWWH028L, SWWH028M, SWWH028N","L, M, N, SWWH028L, SWWH028M, SWWH028N",building/CZ/measure application/HP COP 4.3,6,69710.651125,63,"selected HP COP 4.3 SWWH028 Tech ID options for building, CZ, and year",0,corrected with cap,corrected with cap,Existing,1,NE-WaterHtg_eq-HP_COP_Central-Any-120gal-4.3_NNIS41669EL_Htl.csv,claims_median_trc_cost_per_kbtuh,87580.358372,523.945325,6.670000,Dual baseline PV-weighted by RUL using SWWH028 UnitTherm/UnitMeaCost 1st and 2nd baseline,219.759687,36734.046874,50846.311498,84714.623895,103320.851603,1.219634,47980.577021,181757.597395,121596.156994,1.388395,1.219634,"Median claimed TRC from claims rows selected by: selected HP COP 4.3 SWWH028 Tech ID options for building, CZ, and year; claims are assumed to already include AR dual-baseline costs"
CZ9_Hotel_CODE,ok,,9,Hotel,CODE,NR,4.300000,1.000000,210.337145,8132.067474,79,7486.061800,7486.078210,591400.178600,646.005674,0.086294,38.662061,46.300000,NR,NR,"SWWH028L, SWWH028M, SWWH028N","L, M, N, SWWH028L, SWWH028M, SWWH028N",building/CZ/measure application/HP COP 4.3,15,71956.903641,79,"selected HP COP 4.3 SWWH028 Tech ID, measure application, building, CZ, and year",79,corrected with cap,corrected with cap,Standard,1,NE-WaterHtg_eq-HP_COP_Central-Any-120gal-4.3_NNIS41669EL_Htl.csv,claims_median_trc_cost_per_kbtuh,111816.258154,531.604905,0.000000,Single baseline using SWWH028 1st baseline,175.460000,36905.755517,74910.502636,85953.070669,103994.683244,1.209901,49047.315152,162424.554865,106022.964892,0.948189,1.209901,"Median claimed TRC from claims rows selected by: selected HP COP 4.3 SWWH028 Tech ID, measure application, building, CZ, and year; claims are assumed to already include AR dual-baseline costs"
CZ9_Hotel_EXISTING,ok,,9,Hotel,EXISTING,AR,4.300000,1.000000,210.337145,9416.436952,79,7486.061800,7486.078210,591400.178600,1930.375152,0.257863,44.768303,46.300000,AR,AR,"SWWH028L, SWWH028M, SWWH028N","L, M, N, SWWH028L, SWWH028M, SWWH028N",building/CZ/measure application/HP COP 4.3,6,71956.903641,79,"selected HP COP 4.3 SWWH028 Tech ID options for building, CZ, and year",0,corrected with cap,corrected with cap,Existing,1,NE-WaterHtg_eq-HP_COP_Central-Any-120gal-4.3_NNIS41669EL_Htl.csv,claims_median_trc_cost_per_kbtuh,111816.258154,531.604905,6.670000,Dual baseline PV-weighted by RUL using SWWH028 UnitTherm/UnitMeaCost 1st and 2nd baseline,219.759687,46223.625224,65592.632929,85953.070669,103994.683244,1.209901,39729.445445,181260.353286,121363.834762,1.085386,1.209901,"Median claimed TRC from claims rows selected by: selected HP COP 4.3 SWWH028 Tech ID options for building, CZ, and year; claims are assumed to already include AR dual-baseline costs"
